ID,Host_ID,Regiao,Bairro,Latitude,Longitude,Tipo_do_local,Preco,Minimo_de_noites,Num_de_reviews,Num_de_anuncios_do_host,Disp_anual
23135,11481,Brooklyn,Carroll Gardens,40.67967,-74.00154,Entire home/apt,175,2,233,3,342
23501,63318,Manhattan,Washington Heights,40.83927,-73.94281,Private room,65,2,68,1,312
23686,93790,Manhattan,West Village,40.73096,-74.00319,Entire home/apt,500,4,46,2,243
24143,97219,Brooklyn,Williamsburg,40.71332,-73.94177,Private room,101,3,335,1,152
24285,97797,Brooklyn,Park Slope,40.66941,-73.98109,Entire home/apt,220,30,88,1,9
25235,87773,Brooklyn,Bedford-Stuyvesant,40.68373,-73.92377,Entire home/apt,125,90,162,2,137
25406,105538,Brooklyn,Williamsburg,40.71459,-73.94844,Entire home/apt,80,30,29,1,222
25696,107628,Manhattan,Harlem,40.8092,-73.94421,Private room,100,2,170,1,346
26012,109589,Brooklyn,Gowanus,40.68157,-73.98989,Entire home/apt,200,30,19,1,208
26362,59734,Manhattan,Hell's Kitchen,40.75527,-73.99291,Private room,59,2,334,2,279
26520,51038,Brooklyn,Clinton Hill,40.68698,-73.96572,Private room,125,2,19,6,250
26559,112793,Manhattan,East Village,40.7288,-73.98192,Entire home/apt,140,7,12,1,164
26785,42273,Brooklyn,South Slope,40.66853,-73.98912,Entire home/apt,120,30,467,2,192
26933,72062,Manhattan,East Village,40.7254,-73.98157,Entire home/apt,350,2,7,4,298
26954,115157,Manhattan,Kips Bay,40.74294,-73.98009,Entire home/apt,199,5,38,1,260
26969,115307,Brooklyn,Williamsburg,40.71942,-73.95748,Entire home/apt,325,3,324,1,107
27006,115560,Manhattan,Upper West Side,40.77823,-73.97637,Entire home/apt,235,6,27,1,199
27385,72062,Manhattan,East Village,40.72555,-73.97965,Entire home/apt,225,1,115,4,299
27531,118971,Brooklyn,South Slope,40.66831,-73.98604,Private room,99,2,354,3,20
27644,119510,Manhattan,Harlem,40.82754,-73.94919,Entire home/apt,170,2,195,1,318
27659,119588,Brooklyn,South Slope,40.66499,-73.97925,Entire home/apt,400,2,16,2,216
27759,119900,Manhattan,Upper West Side,40.77842,-73.97556,Entire home/apt,170,7,13,1,224
28321,65091,Brooklyn,Prospect-Lefferts Gardens,40.65593,-73.96053,Private room,75,2,9,1,324
28396,6197784,Brooklyn,Williamsburg,40.71923,-73.96468,Private room,90,1,9,1,245
28907,124352,Manhattan,Upper East Side,40.778,-73.94822,Entire home/apt,150,5,21,1,189
29012,124797,Manhattan,Washington Heights,40.85879,-73.93128,Private room,85,15,36,1,307
29013,35935,Brooklyn,Bedford-Stuyvesant,40.68332,-73.9547,Private room,70,3,63,2,310
29455,126607,Manhattan,Harlem,40.81618,-73.94894,Entire home/apt,120,3,155,3,213
29628,127608,Brooklyn,Clinton Hill,40.68414,-73.96351,Private room,89,3,260,1,278
29683,125857,Manhattan,East Village,40.72392,-73.99143,Entire home/apt,185,5,73,1,209
30927,120335,Manhattan,Lower East Side,40.71341,-73.98856,Entire home/apt,105,3,32,1,16
31130,117287,Manhattan,Hell's Kitchen,40.76754,-73.98399,Private room,130,2,50,3,234
31555,135619,Manhattan,West Village,40.73442,-74.00303,Entire home/apt,115,29,26,1,12
31902,137292,Brooklyn,Flatlands,40.63188,-73.93248,Private room,77,2,2,1,178
31994,137814,Brooklyn,Clinton Hill,40.6873,-73.9634,Private room,76,2,426,3,275
32023,137974,Brooklyn,Bedford-Stuyvesant,40.68296,-73.93662,Entire home/apt,125,3,227,2,163
32037,116599,Brooklyn,Clinton Hill,40.6863,-73.96765,Private room,135,4,84,3,365
32100,138579,Brooklyn,Greenpoint,40.73409,-73.95348,Entire home/apt,250,29,3,1,34
32289,139612,Brooklyn,Williamsburg,40.71561,-73.94835,Entire home/apt,199,3,10,1,280
32363,140025,Queens,Flushing,40.74028,-73.83168,Private room,140,2,1,1,1
32965,137974,Brooklyn,Bedford-Stuyvesant,40.68281,-73.93524,Entire home/apt,115,3,124,2,170
32969,142833,Brooklyn,Williamsburg,40.71596,-73.93938,Entire home/apt,160,3,11,1,188
33009,143027,Brooklyn,Williamsburg,40.71492,-73.95935,Entire home/apt,195,4,240,1,214
33014,143048,Manhattan,East Village,40.72354,-73.98295,Entire home/apt,195,3,30,1,248
33223,72014,Brooklyn,Williamsburg,40.71165,-73.96087,Private room,80,3,200,4,262
34760,149929,Brooklyn,Fort Greene,40.69101,-73.97312,Private room,44,8,27,5,280
35526,120291,Manhattan,West Village,40.73474,-74.00101,Private room,156,4,79,1,307
36121,62165,Brooklyn,Prospect Heights,40.67386,-73.96641,Private room,85,15,9,1,339
36133,142684,Brooklyn,Williamsburg,40.71536,-73.96057,Private room,125,3,155,1,1
36442,137432,Brooklyn,Prospect Heights,40.6741,-73.96595,Entire home/apt,115,15,4,1,269
36647,157798,Manhattan,East Harlem,40.79295,-73.93997,Private room,69,2,34,1,10
36703,158284,Manhattan,West Village,40.73226,-74.00401,Entire home/apt,225,45,134,1,312
36934,159370,Brooklyn,Williamsburg,40.71363,-73.96398,Entire home/apt,125,6,27,1,189
38638,92788,Manhattan,Upper East Side,40.77711,-73.9527,Entire home/apt,219,4,126,2,290
38663,165789,Brooklyn,Boerum Hill,40.68559,-73.98094,Entire home/apt,475,3,23,1,230
39267,168417,Manhattan,Upper East Side,40.77456,-73.95323,Entire home/apt,99,1,234,2,164
39282,168525,Brooklyn,Williamsburg,40.71088,-73.95055,Private room,69,4,202,2,53
39593,110506,Queens,Sunnyside,40.74559,-73.92313,Private room,79,30,28,1,126
39704,170510,Brooklyn,Bedford-Stuyvesant,40.68306,-73.94659,Entire home/apt,135,2,309,2,3
40039,171851,Brooklyn,DUMBO,40.70207,-73.98571,Private room,250,3,14,1,189
40453,174025,Manhattan,Upper East Side,40.76123,-73.9642,Entire home/apt,250,3,4,1,365
42580,137814,Brooklyn,Clinton Hill,40.68843,-73.96408,Private room,70,2,294,3,336
42729,11481,Brooklyn,Carroll Gardens,40.6783,-74.00135,Entire home/apt,165,2,150,3,342
42882,185978,Staten Island,St. George,40.64524,-74.08088,Private room,70,2,166,1,312
43957,177536,Brooklyn,Bushwick,40.70641,-73.91765,Private room,50,2,47,1,37
44096,190409,Bronx,Highbridge,40.83232,-73.93184,Private room,40,1,219,3,353
44161,193360,Brooklyn,Williamsburg,40.71045,-73.9677,Entire home/apt,150,2,193,1,177
44212,72062,Manhattan,East Village,40.72518,-73.98034,Private room,125,1,84,4,310
44229,181376,Brooklyn,Fort Greene,40.69098,-73.97113,Private room,110,2,213,2,321
44288,193637,Manhattan,West Village,40.73756,-74.00405,Entire home/apt,170,3,86,1,246
44506,126607,Manhattan,Harlem,40.81526,-73.94791,Entire home/apt,165,3,80,3,231
45393,201297,Manhattan,West Village,40.73423,-74.0046,Entire home/apt,150,26,38,1,225
45910,204539,Queens,Ridgewood,40.70382,-73.89797,Entire home/apt,350,8,10,5,365
45936,867225,Manhattan,Morningside Heights,40.80549,-73.95924,Private room,99,4,122,2,233
45940,204724,Brooklyn,Williamsburg,40.71627,-73.9587,Entire home/apt,200,4,33,1,1
46544,8198,Brooklyn,Park Slope,40.67994,-73.97863,Entire home/apt,150,5,52,1,18
46723,209460,Brooklyn,Bedford-Stuyvesant,40.67992,-73.9475,Private room,90,3,126,4,343
46911,210746,Brooklyn,Prospect Heights,40.67868,-73.97307,Private room,120,3,51,3,250
47199,212722,Manhattan,Upper East Side,40.76834,-73.95334,Private room,75,3,199,1,326
47362,214148,Brooklyn,Bedford-Stuyvesant,40.68237,-73.9415,Entire home/apt,175,26,30,1,364
47926,218404,Manhattan,Hell's Kitchen,40.76307,-73.99665,Entire home/apt,275,1,41,1,299
48719,221873,Manhattan,Lower East Side,40.71882,-73.98852,Entire home/apt,299,2,109,1,207
50447,9744,Brooklyn,South Slope,40.6693,-73.98804,Entire home/apt,135,5,151,3,162
51485,236655,Manhattan,Lower East Side,40.72319,-73.99201,Private room,83,1,285,1,7
51572,237329,Manhattan,Chelsea,40.74859,-73.99671,Private room,123,1,375,1,328
51850,27848,Queens,Jamaica,40.67252,-73.76597,Private room,55,2,52,2,365
53469,204539,Queens,Middle Village,40.71722,-73.87856,Entire home/apt,98,30,33,5,240
53470,204539,Queens,Ridgewood,40.70234,-73.89816,Private room,140,7,6,5,365
53477,204539,Queens,Middle Village,40.71546,-73.87854,Entire home/apt,265,7,38,5,365
54158,10889,Brooklyn,Williamsburg,40.7195,-73.95976,Entire home/apt,249,2,358,2,164
54453,255583,Manhattan,Hell's Kitchen,40.76548,-73.98474,Shared room,105,6,10,1,363
54466,253385,Manhattan,Harlem,40.80234,-73.95603,Private room,200,30,0,1,365
54508,210746,Brooklyn,Prospect Heights,40.6787,-73.97262,Private room,100,2,226,3,250
54544,256161,Manhattan,Harlem,40.81035,-73.94598,Entire home/apt,121,1,104,5,247
54626,190409,Bronx,Highbridge,40.83075,-73.93058,Private room,45,1,138,3,323
54860,258164,Manhattan,East Harlem,40.79958,-73.94275,Private room,100,5,204,1,192
55467,260709,Brooklyn,Williamsburg,40.71625,-73.93845,Entire home/apt,140,2,253,1,125
55498,262138,Brooklyn,Bedford-Stuyvesant,40.6829,-73.93549,Private room,71,2,23,1,91
55668,88209,Manhattan,NoHo,40.72773,-73.99134,Private room,130,2,115,1,75
55737,263414,Manhattan,West Village,40.72861,-74.0049,Entire home/apt,199,5,129,1,286
55959,168525,Brooklyn,Williamsburg,40.70979,-73.95162,Private room,69,4,82,2,60
56467,267593,Manhattan,East Village,40.72752,-73.98432,Entire home/apt,130,1,204,1,192
56525,268014,Brooklyn,Greenpoint,40.729,-73.95829,Entire home/apt,195,2,69,1,58
56859,256161,Manhattan,Harlem,40.81219,-73.94499,Private room,64,1,192,5,245
57166,272006,Queens,Ditmars Steinway,40.77185,-73.90502,Entire home/apt,140,2,17,1,292
57297,199392,Brooklyn,Cobble Hill,40.68926,-73.99386,Entire home/apt,159,2,222,1,279
57618,274557,Manhattan,Hell's Kitchen,40.7672,-73.98508,Entire home/apt,250,3,94,1,3
57740,275459,Manhattan,East Village,40.73012,-73.99053,Entire home/apt,239,3,7,1,351
57754,275578,Manhattan,Flatiron District,40.7403,-73.98498,Entire home/apt,305,2,108,1,201
57874,276291,Manhattan,Harlem,40.80931,-73.94343,Entire home/apt,155,3,222,2,232
58059,277379,Manhattan,Harlem,40.8251,-73.94287,Private room,60,1,458,2,258
58062,277394,Brooklyn,Windsor Terrace,40.6585,-73.98397,Private room,135,2,21,1,272
58467,279797,Manhattan,Roosevelt Island,40.76193,-73.9501,Private room,120,7,17,1,341
59014,282927,Manhattan,Lower East Side,40.72052,-73.98589,Entire home/apt,150,3,41,1,244
59121,204539,Queens,Ridgewood,40.70411,-73.89934,Entire home/apt,140,14,1,5,365
59642,274782,Brooklyn,Greenpoint,40.73401,-73.95967,Entire home/apt,135,2,69,1,12
59709,186084,Manhattan,Chinatown,40.71756,-73.99503,Entire home/apt,250,4,18,2,265
60164,289653,Manhattan,SoHo,40.72003,-74.00262,Entire home/apt,500,4,94,1,329
60457,99212,Manhattan,Greenwich Village,40.73194,-73.99474,Entire home/apt,225,5,10,1,91
60611,292204,Manhattan,East Harlem,40.79163,-73.94573,Entire home/apt,125,28,183,2,365
60666,256161,Manhattan,Harlem,40.8118,-73.94434,Private room,92,1,189,5,253
60673,249372,Manhattan,Harlem,40.81583,-73.94707,Private room,175,2,1,1,365
60680,292630,Manhattan,East Village,40.72654,-73.98049,Entire home/apt,99,2,127,1,320
60948,126607,Manhattan,East Harlem,40.80942,-73.93936,Entire home/apt,140,3,135,3,192
61224,291112,Manhattan,Chelsea,40.74358,-74.00027,Entire home/apt,500,2,35,1,348
61492,297769,Manhattan,Chinatown,40.71445,-73.9908,Private room,120,4,171,2,353
61509,23619,Manhattan,Midtown,40.75749,-73.96897,Entire home/apt,110,200,92,1,140
62095,281764,Brooklyn,East Flatbush,40.64446,-73.9503,Entire home/apt,65,3,238,1,2
62427,303882,Manhattan,East Village,40.7268,-73.99079,Entire home/apt,130,50,56,1,56
62430,197755,Brooklyn,Bushwick,40.688,-73.9171,Entire home/apt,99,3,111,1,68
62452,303939,Staten Island,Tompkinsville,40.63536,-74.08537,Private room,36,2,193,6,360
62787,303939,Staten Island,Tompkinsville,40.63518,-74.08546,Private room,37,2,177,6,320
62891,306545,Manhattan,East Village,40.72477,-73.98161,Entire home/apt,175,3,185,2,326
62903,306605,Manhattan,Chelsea,40.74238,-73.99567,Entire home/apt,205,9,62,2,76
62925,306739,Brooklyn,Greenpoint,40.72945,-73.95511,Entire home/apt,285,3,124,3,279
63299,308875,Brooklyn,Williamsburg,40.70763,-73.95177,Private room,59,2,181,2,15
63320,303939,Staten Island,Tompkinsville,40.63481,-74.08519,Private room,36,2,333,6,340
63360,307962,Queens,Astoria,40.75384,-73.91433,Entire home/apt,99,5,441,1,226
63546,308652,Brooklyn,Kensington,40.64106,-73.97426,Private room,39,1,45,2,365
63588,295128,Bronx,Clason Point,40.81309,-73.85514,Private room,90,2,0,7,349
63610,310670,Bronx,Eastchester,40.88057,-73.83572,Entire home/apt,105,2,38,13,365
63657,170510,Brooklyn,Bedford-Stuyvesant,40.68236,-73.94314,Entire home/apt,135,2,248,2,11
63693,306545,Manhattan,East Village,40.72185,-73.98246,Entire home/apt,390,5,143,2,316
63719,311286,Brooklyn,Bedford-Stuyvesant,40.68503,-73.95385,Private room,70,3,36,4,281
63913,312288,Manhattan,Inwood,40.86648,-73.9263,Private room,75,7,0,2,323
64000,312722,Brooklyn,Williamsburg,40.7069,-73.95467,Private room,60,17,14,4,362
64107,313317,Brooklyn,Crown Heights,40.6778,-73.94339,Private room,100,3,279,1,301
64277,311286,Brooklyn,Bedford-Stuyvesant,40.68317,-73.94701,Private room,70,4,18,4,189
64365,314582,Brooklyn,Crown Heights,40.67586,-73.95155,Private room,60,2,227,2,287
64707,7310,Manhattan,Little Italy,40.71702,-73.99811,Entire home/apt,90,14,1,1,14
64837,46978,Manhattan,East Village,40.72321,-73.98157,Private room,68,2,203,2,86
65019,317809,Manhattan,Upper West Side,40.77956,-73.98098,Entire home/apt,115,2,210,1,261
65268,319092,Brooklyn,Bedford-Stuyvesant,40.68276,-73.95264,Private room,75,5,64,1,68
65562,320450,Manhattan,East Village,40.72956,-73.98158,Entire home/apt,129,7,5,1,231
65615,320761,Brooklyn,Williamsburg,40.71069,-73.95175,Entire home/apt,130,10,49,1,152
65660,320538,Brooklyn,Williamsburg,40.70863,-73.94641,Entire home/apt,95,4,132,1,46
65813,321756,Manhattan,Harlem,40.82888,-73.94307,Private room,75,3,20,1,364
65834,321934,Brooklyn,Park Slope,40.67319,-73.97323,Entire home/apt,175,2,11,1,246
66008,322884,Brooklyn,Carroll Gardens,40.67846,-73.99443,Entire home/apt,190,3,51,1,288
66026,322716,Brooklyn,Crown Heights,40.6715,-73.94808,Private room,49,21,15,5,331
66251,324460,Manhattan,East Village,40.72681,-73.98534,Entire home/apt,212,3,67,1,51
66275,314941,Manhattan,Lower East Side,40.71904,-73.99392,Private room,95,1,109,3,364
66451,325389,Brooklyn,Williamsburg,40.71031,-73.9583,Entire home/apt,140,2,9,1,254
66718,136227,Manhattan,Harlem,40.81322,-73.95306,Entire home/apt,135,6,187,1,189
66741,327673,Brooklyn,Park Slope,40.67732,-73.98225,Entire home/apt,150,2,214,2,263
66974,329436,Brooklyn,Gowanus,40.68076,-73.9896,Entire home/apt,190,3,69,2,258
67288,101597,Manhattan,East Harlem,40.79603,-73.94903,Entire home/apt,124,28,22,1,103
67299,330347,Brooklyn,Williamsburg,40.71492,-73.96282,Entire home/apt,135,30,56,1,42
67397,332189,Manhattan,Morningside Heights,40.80393,-73.95838,Private room,122,3,93,1,246
68099,323517,Manhattan,Upper West Side,40.80082,-73.9652,Private room,109,1,104,2,364
68305,338454,Manhattan,Harlem,40.82976,-73.94867,Private room,85,30,64,1,318
68403,240427,Brooklyn,Bedford-Stuyvesant,40.683,-73.91981,Entire home/apt,145,3,127,2,72
68735,342054,Manhattan,Upper West Side,40.78971,-73.9729,Entire home/apt,195,11,30,1,249
68765,282655,Brooklyn,Carroll Gardens,40.67817,-73.99495,Entire home/apt,250,2,106,3,272
68900,343250,Brooklyn,Greenpoint,40.73119,-73.95578,Private room,125,3,6,1,325
68974,281229,Manhattan,Little Italy,40.71943,-73.99627,Entire home/apt,575,2,191,1,298
69894,352168,Manhattan,Upper West Side,40.78,-73.98249,Entire home/apt,150,30,48,1,35
69921,155689,Brooklyn,Bushwick,40.70514,-73.91922,Private room,70,5,47,1,203
70095,353965,Manhattan,Inwood,40.86713,-73.92811,Private room,90,2,120,1,132
70128,354330,Manhattan,East Village,40.73198,-73.98881,Private room,65,3,52,1,5
70609,72062,Manhattan,East Village,40.72542,-73.97986,Entire home/apt,500,2,48,4,297
71010,361855,Manhattan,Washington Heights,40.83494,-73.93869,Entire home/apt,250,3,32,2,276
71248,363834,Manhattan,Chinatown,40.71659,-73.98945,Entire home/apt,125,25,43,1,102
71366,364955,Manhattan,West Village,40.72966,-74.00243,Entire home/apt,200,30,39,1,251
71384,365153,Brooklyn,Greenpoint,40.72898,-73.95552,Entire home/apt,229,1,50,1,188
71812,369015,Bronx,Kingsbridge,40.87207,-73.90193,Entire home/apt,90,30,4,2,346
72265,340692,Brooklyn,Greenpoint,40.72646,-73.95341,Private room,59,3,29,1,15
74073,211877,Brooklyn,Williamsburg,40.71015,-73.96101,Entire home/apt,195,4,59,1,71
74240,389924,Brooklyn,Williamsburg,40.71903,-73.9597,Entire home/apt,169,1,68,2,215
74333,331328,Manhattan,East Harlem,40.80892,-73.93985,Entire home/apt,113,14,26,3,253
74404,391325,Manhattan,Harlem,40.80276,-73.9567,Entire home/apt,250,14,31,1,78
74680,265109,Queens,Astoria,40.77635,-73.93426,Entire home/apt,115,2,198,1,257
75193,308875,Brooklyn,Williamsburg,40.71398,-73.95763,Private room,69,2,220,2,8
75635,401696,Manhattan,Lower East Side,40.71876,-73.98394,Entire home/apt,150,3,286,1,191
76761,118971,Brooklyn,South Slope,40.66552,-73.99019,Entire home/apt,169,2,398,3,182
77765,417504,Brooklyn,Greenpoint,40.73749,-73.95292,Private room,179,3,36,28,79
77936,134355,Manhattan,Hell's Kitchen,40.76248,-73.9913,Private room,150,3,36,1,49
79067,425506,Brooklyn,Clinton Hill,40.6848,-73.96219,Entire home/apt,350,6,14,1,156
79782,430188,Brooklyn,Williamsburg,40.70516,-73.95455,Private room,120,14,76,6,343
80493,434987,Manhattan,East Village,40.72329,-73.98486,Private room,71,2,182,1,200
80684,417504,Brooklyn,Greenpoint,40.73776,-73.95327,Private room,349,3,8,28,60
80700,417504,Brooklyn,Greenpoint,40.73738,-73.95482,Private room,349,3,7,28,60
80924,438133,Brooklyn,Park Slope,40.67542,-73.98142,Entire home/apt,165,30,34,2,189
81739,417504,Brooklyn,Greenpoint,40.73842,-73.95312,Private room,249,3,2,28,60
82550,448312,Brooklyn,Brooklyn Heights,40.69441,-73.99771,Entire home/apt,200,3,80,2,106
82638,449787,Manhattan,East Village,40.72399,-73.98374,Entire home/apt,169,4,240,1,276
82928,451545,Brooklyn,Bedford-Stuyvesant,40.6824,-73.94615,Entire home/apt,185,3,46,1,248
